attack_cat,label,time,src,sport,dst,dport
Normal,0,1502109387.662314,192.168.100.5,50390,192.168.2.15,443
Normal,0,1502108943.324245,192.168.100.5,50390,192.168.2.15,443
Normal,0,1493927534.78465,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1502269482.586373,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502269632.180733,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502110013.904788,192.168.2.15,443,192.168.100.5,50390
Normal,0,1502279469.828594,192.168.2.15,-1,192.168.100.5,-1
Normal,0,1487598107.615686,192.168.2.11,-1,192.168.100.5,-1
Normal,0,1488011692.288684,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1502278898.706546,192.168.2.15,-1,192.168.100.5,-1
Normal,0,1487598044.476897,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1493928265.042211,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1502278928.457693,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502267626.612511,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502269572.722237,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1493927290.692122,192.168.3.12,-1,192.168.100.5,-1
Normal,0,1502269202.619975,192.168.2.15,443,192.168.100.5,61036
Normal,0,1502111096.239731,192.168.2.15,443,192.168.100.5,50390
Normal,0,1502278972.896051,192.168.2.15,-1,192.168.100.5,-1
Normal,0,1502278298.56965,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502110228.265332,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502267681.756374,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1487596567.979971,192.168.2.11,-1,192.168.100.5,-1
Normal,0,1488017064.374728,192.168.3.11,443,192.168.100.5,64855
Normal,0,1487597202.239225,192.168.2.11,-1,192.168.100.5,-1
Normal,0,1488016342.523652,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1502110289.226176,192.168.100.5,50390,192.168.2.15,443
Normal,0,1488017369.611752,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1493927314.092418,192.168.100.5,53195,192.168.3.11,443
Normal,0,1488012038.596867,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1502269443.503839,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502269024.996578,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1488012853.448056,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1487596798.989571,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1493929275.083485,192.168.3.12,-1,192.168.100.5,-1
Normal,0,1493929245.952755,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1502111350.806532,192.168.100.5,50390,192.168.2.15,443
Normal,0,1488015979.190654,192.168.3.12,-1,192.168.100.5,-1
Normal,0,1502109746.659497,192.168.100.5,50390,192.168.2.15,443
Normal,0,1487598193.695525,192.168.2.12,-1,192.168.100.5,-1
Normal,0,1488012114.468895,192.168.3.12,-1,192.168.100.5,-1
Normal,0,1502269142.247231,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1487596913.854981,192.168.2.12,-1,192.168.100.5,-1
Normal,0,1487598321.285344,192.168.2.11,-1,192.168.100.5,-1
Normal,0,1540446385.795226,192.168.2.108,-1,50.19.254.134,-1
PortScan,1,1502110898.711602,192.168.2.7,55424,192.168.2.1,50410
PortScan,1,1502110909.439606,192.168.2.7,55424,192.168.2.1,14731
PortScan,1,1502110889.41953,192.168.2.7,55424,192.168.2.1,61314
PortScan,1,1502110888.284146,192.168.2.7,55424,192.168.2.1,62565
PortScan,1,1502110907.562666,192.168.2.7,55424,192.168.2.1,13143
PortScan,1,1502110898.122163,192.168.2.7,55424,192.168.2.1,10475
PortScan,1,1502110890.840578,192.168.2.7,55424,192.168.2.1,12497
PortScan,1,1502110888.07228,192.168.2.7,55424,192.168.2.1,59748
PortScan,1,1502110906.27716,192.168.2.7,55424,192.168.2.1,6040
PortScan,1,1502110909.368083,192.168.2.7,55424,192.168.2.1,61105
PortScan,1,1502110901.342531,192.168.2.7,55424,192.168.2.1,8778
PortScan,1,1502110898.663542,192.168.2.7,55424,192.168.2.1,18101
PortScan,1,1502110891.325234,192.168.2.7,55424,192.168.2.1,14823
PortScan,1,1502110886.145868,192.168.2.7,55424,192.168.2.1,40469
PortScan,1,1502110901.204228,192.168.2.7,55424,192.168.2.1,4876
PortScan,1,1502110889.801723,192.168.2.7,55424,192.168.2.1,21825
PortScan,1,1502110898.232149,192.168.2.7,55424,192.168.2.1,17735
PortScan,1,1502110888.562579,192.168.2.7,55424,192.168.2.1,58630
PortScan,1,1502110906.030954,192.168.2.7,55424,192.168.2.1,5105
PortScan,1,1502110895.205979,192.168.2.7,55424,192.168.2.1,46614
PortScan,1,1502110908.082717,192.168.2.7,55424,192.168.2.1,2724
PortScan,1,1502110899.843474,192.168.2.7,55424,192.168.2.1,46677
PortScan,1,1502110894.224293,192.168.2.7,55424,192.168.2.1,36050
PortScan,1,1502110887.281851,192.168.2.7,55424,192.168.2.1,58156
PortScan,1,1502110909.395291,192.168.2.7,55424,192.168.2.1,10069
PortScan,1,1502110903.253337,192.168.2.7,55424,192.168.2.1,55141
PortScan,1,1502110900.579994,192.168.2.7,55424,192.168.2.1,54257
PortScan,1,1502110902.168065,192.168.2.7,55424,192.168.2.1,17458
PortScan,1,1502110893.150156,192.168.2.7,55424,192.168.2.1,13805
PortScan,1,1502110898.474256,192.168.2.7,55424,192.168.2.1,27427
PortScan,1,1502110887.281019,192.168.2.7,55424,192.168.2.1,45681
PortScan,1,1502110888.6025,192.168.2.7,55424,192.168.2.1,39598
PortScan,1,1502110887.06311,192.168.2.7,55424,192.168.2.1,52772
PortScan,1,1502110905.69226,192.168.2.7,55424,192.168.2.1,59308
PortScan,1,1502110897.874176,192.168.2.7,55424,192.168.2.1,46991
PortScan,1,1502110889.879242,192.168.2.7,55424,192.168.2.1,18535
PortScan,1,1502110902.359333,192.168.2.7,55424,192.168.2.1,1605
PortScan,1,1502110909.272626,192.168.2.7,55424,192.168.2.1,21209
PortScan,1,1502110901.907237,192.168.2.7,55424,192.168.2.1,10259
PortScan,1,1502110899.899638,192.168.2.7,55424,192.168.2.1,65209
PortScan,1,1502110887.286041,192.168.2.7,55424,192.168.2.1,45146
PortScan,1,1502110906.537439,192.168.2.7,55424,192.168.2.1,33503
PortScan,1,1502110887.284969,192.168.2.7,55424,192.168.2.1,44904
PortScan,1,1502110886.65161,192.168.2.7,55424,192.168.2.1,31221
PortScan,1,1502110892.835986,192.168.2.7,55424,192.168.2.1,24266
PortScan,1,1502110897.393809,192.168.2.7,55424,192.168.2.1,31023
PortScan,1,1502110885.6928,192.168.2.7,55424,192.168.2.1,12108
PortScan,1,1502110897.946758,192.168.2.7,55424,192.168.2.1,22412
PortScan,1,1502110896.200724,192.168.2.7,55424,192.168.2.1,48132
PortScan,1,1502110893.982833,192.168.2.7,55424,192.168.2.1,6718
PortScan,1,1502110894.228678,192.168.2.7,55424,192.168.2.1,23880
PortScan,1,1502110901.221767,192.168.2.7,55424,192.168.2.1,607
PortScan,1,1502110890.840233,192.168.2.7,55424,192.168.2.1,21395
PortScan,1,1502110908.714973,192.168.2.7,55424,192.168.2.1,37292
PortScan,1,1502110888.495136,192.168.2.7,55424,192.168.2.1,51507
PortScan,1,1502110889.107641,192.168.2.7,55424,192.168.2.1,28218
PortScan,1,1502110888.271988,192.168.2.7,55424,192.168.2.1,58697
PortScan,1,1502110904.741901,192.168.2.7,55424,192.168.2.1,33954
PortScan,1,1502110905.952609,192.168.2.7,55424,192.168.2.1,4855
PortScan,1,1502110887.002985,192.168.2.7,55424,192.168.2.1,34217
PortScan,1,1502110889.583127,192.168.2.7,55424,192.168.2.1,55005
PortScan,1,1502110885.374353,192.168.2.7,55424,192.168.2.1,25149
PortScan,1,1502110887.099255,192.168.2.7,55424,192.168.2.1,7460
PortScan,1,1502110908.155629,192.168.2.7,55424,192.168.2.1,1195
PortScan,1,1502110886.450028,192.168.2.7,55424,192.168.2.1,9664
PortScan,1,1502110886.215201,192.168.2.7,55424,192.168.2.1,53676
PortScan,1,1502110885.32763,192.168.2.7,55424,192.168.2.1,15798
PortScan,1,1502110889.591011,192.168.2.7,55424,192.168.2.1,25176
PortScan,1,1502110886.501626,192.168.2.7,55424,192.168.2.1,29526
PortScan,1,1502110903.681817,192.168.2.7,55424,192.168.2.1,18698
PortScan,1,1502110886.044082,192.168.2.7,55424,192.168.2.1,32966
